id    experience married wage         industry                        
00299 4          no      1.902649914  Trade                           
00300 5          no      1.885374738  Personal_Service                
00301 6          no      1.678707608  Business_and_Repair_Service     
00302 7          no      1.89635837   Trade                           
00303 8          no      1.788370219  Personal_Service                
00304 9          no      1.563827401  Transportation                  
00305 3          no      0.992524038  Professional_and_Related_Service
00306 4          no      2.345144707  Manufacturing                   
00307 5          no      1.680933914  Manufacturing                   
00308 6          yes     1.989654053  Agricultural                    
00309 7          yes     2.448014226  Manufacturing                   
00310 8          yes     2.450180326  Manufacturing                   
00311 9          yes     2.172239416  Trade                           
00312 10         yes     2.415983571  Agricultural                    
00313 2          no      1.587761509  Professional_and_Related_Service
00314 3          no      1.609437912  Professional_and_Related_Service
00315 4          no      1.508181808  Professional_and_Related_Service
00316 5          no      1.555511052  Professional_and_Related_Service
00317 6          no      1.549014992  Professional_and_Related_Service
00318 7          no      1.616430042  Professional_and_Related_Service
00319 8          yes     1.825936921  Professional_and_Related_Service
00320 9          yes     1.990434946  Professional_and_Related_Service
00321 2          no      1.556213151  Professional_and_Related_Service
00322 3          no      0.422912022  Professional_and_Related_Service
00323 4          no      0.710434107  Professional_and_Related_Service
00328 9          no      1.543499702  Business_and_Repair_Service     
00329 3          no      -0.37266136  Trade                           
00330 4          no      0.606314391  Entertainment                   
00331 5          no      0.864880512  Trade                           
00332 6          no      0.512171185  Trade                           
00333 7          no      0.68391161   Trade                           
00334 8          no      0.99974931   Trade                           
00335 9          no      1.43486055   Trade                           
00341 6          no      1.792189562  Trade                           
00342 7          no      1.948283333  Manufacturing                   
00343 8          yes     2.263611663  Manufacturing                   
00344 9          yes     2.628963761  Professional_and_Related_Service
00345 1          no      1.562727832  Professional_and_Related_Service
00346 2          no      1.66449769   Professional_and_Related_Service
00347 3          no      1.770546073  Transportation                  
00348 4          no      1.786034711  Construction                    
00349 5          no      2.001000115  Manufacturing                   
00350 6          no      1.648178741  Construction                    
00351 7          no      2.125711039  Construction                    
00352 8          yes     1.688419279  Public_Administration           
00353 2          no      1.875813078  Manufacturing                   
00354 3          no      1.956676163  Manufacturing                   
00355 4          yes     1.867253877  Manufacturing                   
00356 5          yes     2.174533166  Manufacturing                   
00357 6          yes     1.914497107  Manufacturing                   
00358 7          yes     2.017925766  Manufacturing                   
00359 8          yes     2.117659403  Manufacturing                   
00360 9          no      1.977629049  Manufacturing                   
00361 2          no      1.570450934  Construction                    
00362 3          no      1.562185028  Construction                    
00363 4          no      1.569976844  Construction                    
00364 5          no      1.794119587  Business_and_Repair_Service     
00365 6          no      1.837172011  Manufacturing                   
00366 7          yes     1.813934967  Trade                           
00367 8          yes     2.038395572  Trade                           
00368 9          yes     1.905903546  Trade                           
00369 2          no      0.59686293   Manufacturing                   
00370 3          no      0.474991171  Trade                           
00371 4          no      1.090265403  Manufacturing                   
00372 5          no      1.000002046  Manufacturing                   
00373 6          no      0.833053133  Professional_and_Related_Service
00374 7          no      1.401281103  Professional_and_Related_Service
00375 8          no      1.734129372  Professional_and_Related_Service
00376 9          no      1.882872133  Professional_and_Related_Service
00377 2          no      2.000043906  Trade                           
00378 3          yes     2.307711849  Trade                           
00379 4          yes     2.308812622  Trade                           
00380 5          no      1.880415835  Trade                           
00381 6          yes     1.869900828  Manufacturing                   
00382 7          yes     2.079198371  Trade                           
00383 8          yes     1.887449721  Trade                           
00384 9          no      1.809427528  Trade                           
00385 2          no      0.997580676  Entertainment                   
00386 3          no      0.230986729  Entertainment                   
00387 4          no      0.432260931  Entertainment                   
00388 5          no      0.974155277  Entertainment                   
00389 6          no      0.512209915  Entertainment                   
00390 7          no      0.948436318  Entertainment                   
00391 8          no      1.282688111  Agricultural                    
00392 9          yes     1.377866641  Agricultural                    
00393 2          no      1.865393246  Construction                    
00394 3          no      2.134249778  Construction                    
00395 4          no      1.040896559  Manufacturing                   
00396 5          no      1.761967684  Construction                    
00397 6          no      1.919158153  Construction                    
00398 7          no      2.257065578  Construction                    
00399 8          no      2.111953714  Construction                    
00400 9          no      1.892331468  Construction                    
00401 2          no      1.175440656  Manufacturing                   
00402 3          no      1.411612169  Manufacturing                   
00403 4          no      1.615794993  Manufacturing                   
00404 5          no      1.688940588  Manufacturing                   
00405 6          no      1.961550285  Manufacturing                   
00406 7          no      1.910543005  Manufacturing                   
00407 8          no      2.018308814  Manufacturing                   
00408 9          no      2.28229239   Manufacturing                   
00409 3          yes     1.568009535  Business_and_Repair_Service     
00410 4          yes     1.395863812  Professional_and_Related_Service
00411 5          yes     1.380348437  Professional_and_Related_Service
00412 6          yes     1.49442336   Professional_and_Related_Service
00413 7          yes     1.394864312  Professional_and_Related_Service
00414 8          yes     1.440539376  Professional_and_Related_Service
00415 9          yes     1.596362479  Professional_and_Related_Service
00416 10         yes     1.619916868  Professional_and_Related_Service
00417 2          no      1.602506435  Trade                           
00418 3          no      2.034989779  Trade                           
00419 4          no      2.238628472  Manufacturing                   
00420 5          no      2.217671428  Manufacturing                   
00421 6          no      2.447831093  Manufacturing                   
00422 7          no      2.603690186  Manufacturing                   
00423 8          no      2.355690555  Manufacturing                   
00424 9          yes     2.18698221   Trade                           
00425 1          no      0.853558552  Professional_and_Related_Service
00426 2          no      0.89216703   Professional_and_Related_Service
00427 3          no      0.85004126   Professional_and_Related_Service
00428 4          no      0.590937726  Professional_and_Related_Service
00429 5          no      1.202973304  Finance                         
00430 6          no      1.554618343  Finance                         
00431 7          no      1.802115768  Finance                         
00432 8          yes     1.697930386  Finance                         
00438 7          yes     2.414448186  Manufacturing                   
00439 8          yes     0.049444924  Manufacturing                   
00440 9          yes     2.623218977  Manufacturing                   
00441 2          no      0.819390907  Trade                           
00442 3          no      0.589594657  Trade                           
00443 4          no      1.399766523  Trade                           
00444 5          no      1.555511052  Trade                           
00445 6          no      1.618007863  Trade                           
00446 7          no      1.60797232   Trade                           
00447 8          no      1.610092672  Trade                           
00448 9          no      1.197449682  Trade                           
00449 1          no      1.039624942  Trade                           
00450 2          no      1.359861104  Finance                         
00451 3          no      1.260502004  Finance                         
00452 4          no      1.322710141  Finance                         
00453 5          no      1.718771588  Finance                         
00454 6          no      1.310399144  Professional_and_Related_Service
00455 7          no      1.411624807  Professional_and_Related_Service
00456 8          no      1.386204365  Professional_and_Related_Service
00457 3          no      2.236456927  Manufacturing                   
00458 4          no      2.376693065  Business_and_Repair_Service     
00459 5          yes     2.38653933   Manufacturing                   
00460 6          yes     2.384627998  Business_and_Repair_Service     
00461 7          yes     2.400284968  Business_and_Repair_Service     
00462 8          yes     2.47137905   Business_and_Repair_Service     
00463 9          yes     2.264099944  Business_and_Repair_Service     
00464 10         yes     2.28229239   Business_and_Repair_Service     
00465 4          no      2.070805258  Manufacturing                   
00466 5          no      1.988927534  Business_and_Repair_Service     
00467 6          no      1.978185438  Manufacturing                   
00468 7          no      2.088315582  Professional_and_Related_Service
00469 8          no      2.128833487  Manufacturing                   
00470 9          no      2.207794529  Manufacturing                   
00471 10         no      2.475409038  Manufacturing                   
00472 11         no      2.217753869  Manufacturing                   
00473 5          no      1.417540359  Trade                           
00474 6          no      1.47810191   Trade                           
00475 7          no      1.384883592  Trade                           
00476 8          no      1.517770724  Trade                           
00477 9          yes     1.427654135  Trade                           
00478 10         yes     1.440539376  Trade                           
00479 11         yes     1.420471813  Trade                           
00480 12         yes     1.381505844  Trade                           
00481 2          yes     1.557642744  Trade                           
00482 3          yes     1.482438222  Trade                           
00483 4          yes     1.244216263  Trade                           
00484 5          yes     0.72082675   Business_and_Repair_Service     
00485 6          yes     0.807077647  Business_and_Repair_Service     
00486 7          yes     0.823104017  Business_and_Repair_Service     
00487 8          yes     1.109035655  Business_and_Repair_Service     
00488 9          yes     2.238643625  Business_and_Repair_Service     
00489 4          no      1.447999567  Business_and_Repair_Service     
00490 5          no      1.752538756  Manufacturing                   
00491 6          no      1.547402522  Trade                           
00492 7          no      2.04386382   Business_and_Repair_Service     
00493 8          no      2.15214371   Manufacturing                   
00494 9          no      2.267217949  Trade                           
00495 10         yes     2.747342754  Trade                           
00496 11         yes     2.577179846  Manufacturing                   
00497 3          no      0.724663648  Personal_Service                
00498 4          no      1.794262599  Trade                           
00499 5          no      1.161927558  Trade                           
00500 6          yes     1.459600091  Professional_and_Related_Service
00501 7          yes     1.028219997  Agricultural                    
00502 8          yes     1.303338255  Agricultural                    
00503 9          yes     1.649884977  Agricultural                    
00504 10         yes     1.309185183  Agricultural                    
00505 4          yes     1.903118259  Transportation                  
00506 5          yes     2.02107101   Transportation                  
00507 6          yes     1.895427724  Agricultural                    
00508 7          yes     2.122506947  Transportation                  
00509 8          yes     1.880372128  Manufacturing                   
00510 9          yes     1.992477414  Trade                           
00511 10         yes     1.964025407  Trade                           
00512 11         yes     1.929471015  Transportation                  
00513 2          no      1.087996833  Finance                         
00514 3          no      1.249144523  Construction                    
00515 4          no      1.547402522  Trade                           
00516 5          no      1.351703445  Trade                           
00517 6          no      1.426116855  Trade                           
00518 7          no      1.056600602  Trade                           
00519 8          no      1.264222496  Trade                           
00520 9          no      2.000009482  Trade                           
00521 1          no      1.887123958  Trade                           
00522 2          no      1.481521211  Business_and_Repair_Service     
00523 3          no      1.217641944  Manufacturing                   
00524 4          no      0.737586125  Trade                           
00525 5          yes     1.288773294  Trade                           
00526 6          yes     1.073505715  Trade                           
00527 7          yes     1.317172243  Business_and_Repair_Service     
00528 8          no      2.017049554  Manufacturing                   
00529 6          no      1.111002916  Trade                           
00530 7          yes     1.162092558  Trade                           
00531 8          yes     1.061894706  Trade                           
00532 9          yes     1.127573088  Trade                           
00533 10         yes     1.189179982  Manufacturing                   
00534 11         yes     1.222794989  Trade                           
00535 12         yes     1.164667479  Trade                           
00536 13         yes     1.395894582  Transportation                  
00537 3          yes     1.342639051  Construction                    
00560 8          yes     2.282758699  Professional_and_Related_Service
00561 3          no      0.881084476  Professional_and_Related_Service
00562 4          no      2.040220829  Business_and_Repair_Service     
00563 5          no      1.833003428  Manufacturing                   
00564 6          no      1.774200253  Business_and_Repair_Service     
00565 7          no      1.822308327  Business_and_Repair_Service     
00566 8          no      2.657274432  Business_and_Repair_Service     
00567 9          no      2.774626927  Trade                           
00568 10         no      2.851785862  Manufacturing                   
00569 5          no      1.543309746  Construction                    
00570 6          yes     1.570217199  Construction                    
00571 7          yes     1.656601814  Construction                    
00572 8          yes     1.660871568  Construction                    
00573 9          yes     2.001000115  Construction                    
00574 10         yes     1.871322292  Construction                    
00575 11         yes     1.890475442  Construction                    
00576 12         yes     2.035432312  Construction                    
00577 2          no      1.413112308  Trade                           
00578 3          no      1.667773489  Finance                         
00579 4          no      1.922095971  Finance                         
00580 5          no      1.74137394   Transportation                  
00581 6          no      2.011050451  Finance                         
00582 7          yes     2.223542886  Finance                         
00583 8          yes     2.088562414  Finance                         
00584 9          yes     2.34130773   Finance                         
00585 5          no      1.302817557  Trade                           
00586 6          no      1.33072451   Trade                           
00587 7          no      1.299566358  Trade                           
00588 8          no      1.631099409  Trade                           
00589 9          no      1.659153505  Trade                           
00590 10         no      1.648178741  Trade                           
00591 11         no      1.554003206  Trade                           
00592 12         no      1.933747572  Trade                           
00593 2          no      1.853464675  Construction                    
00594 3          no      1.609437912  Construction                    
00595 4          no      1.690503365  Construction                    
00596 5          no      1.537495229  Transportation                  
00597 6          yes     2.041054509  Construction                    
00598 7          yes     1.920112456  Construction                    
00599 8          yes     2.113618994  Construction                    
00600 9          yes     2.217753869  Construction                    
00601 2          no      1.510342697  Manufacturing                   
00602 3          no      1.510857084  Manufacturing                   
00603 4          no      1.061894706  Manufacturing                   
00604 5          no      1.350716639  Manufacturing                   
00605 6          no      1.216045386  Manufacturing                   
00606 7          no      1.173910713  Agricultural                    
00607 8          no      1.340429105  Manufacturing                   
00608 9          yes     1.381505844  Manufacturing                   
00609 5          no      1.622382287  Trade                           
00610 6          no      1.752538756  Manufacturing                   
00611 7          no      1.93475588   Trade                           
00612 8          no      1.778595342  Mining                          
00613 9          no      1.868610927  Mining                          
00614 10         no      2.011084234  Manufacturing                   
00615 11         no      2.251372231  Manufacturing                   
00616 12         no      2.250543691  Mining                          
00617 5          no      1.530746545  Manufacturing                   
00618 6          yes     1.339992901  Trade                           
00619 7          no      1.659569092  Agricultural                    
00620 8          yes     1.383422671  Agricultural                    
00621 9          yes     1.511506172  Agricultural                    
00622 10         no      1.425035189  Trade                           
00623 11         yes     1.443959794  Manufacturing                   
00624 12         no      1.444379086  Manufacturing                   
00625 3          yes     1.750865774  Trade                           
00626 4          no      1.832376315  Trade                           
00627 5          no      1.755041886  Trade                           
00628 6          no      1.782105432  Trade                           
00629 7          no      1.721767097  Trade                           
00630 8          no      1.73331061   Public_Administration           
00631 9          yes     1.764681555  Public_Administration           
00632 10         yes     1.90759894   Public_Administration           
00633 2          no      0.556780125  Trade                           
00634 3          no      1.554713013  Mining                          
00635 4          no      1.686833636  Mining                          
00636 5          no      1.644792736  Manufacturing                   
00637 6          no      2.212790094  Mining                          
00638 7          no      1.894876889  Mining                          
00639 8          no      1.791082698  Mining                          
00640 9          no      2.058709375  Mining                          
00641 4          no      1.543309746  Business_and_Repair_Service     
00642 5          no      1.68948062   Construction                    
00643 6          yes     1.877644208  Trade                           
00644 7          yes     2.589254345  Trade                           
00645 8          yes     2.738599059  Manufacturing                   
00646 9          yes     1.861752841  Construction                    
00647 10         yes     1.911142079  Construction                    
00648 11         yes     1.90759894   Trade                           
00649 8          no      1.059776265  Construction                    
00650 9          no      1.467701636  Agricultural                    
00651 10         no      1.339763157  Agricultural                    
00652 11         no      1.294627173  Agricultural                    
00653 12         no      1.251763468  Manufacturing                   
00654 13         no      1.332202525  Agricultural                    
00655 14         no      1.28594092   Manufacturing                   
00656 15         no      1.286195665  Agricultural                    
00657 4          no      1.764698182  Manufacturing                   
00658 5          yes     -0.723918839 Trade                           
00659 6          yes     1.890843428  Manufacturing                   
00715 7          yes     1.349576778  Agricultural                    
00716 8          yes     1.351197524  Manufacturing                   
00717 9          yes     1.370305721  Manufacturing                   
00718 10         yes     1.401318663  Manufacturing                   
00719 11         yes     1.580542761  Manufacturing                   
00720 12         yes     1.63599495   Trade                           
00721 4          no      0.978897786  Trade                           
00722 5          no      1.241713132  Trade                           
00723 6          no      1.259720449  Trade                           
00724 7          no      1.032262908  Trade                           
00725 8          no      1.196193617  Trade                           
00726 9          no      1.168104533  Trade                           
00727 10         no      1.366404592  Trade                           
00728 11         no      1.398312963  Professional_and_Related_Service
00729 2          no      1.311867392  Manufacturing                   
00730 3          yes     1.222664937  Trade                           
00731 4          yes     1.408866593  Manufacturing                   
00732 5          yes     1.574341075  Manufacturing                   
00733 6          yes     1.455858825  Manufacturing                   
00734 7          yes     1.874824923  Manufacturing                   
00735 8          yes     1.87394614   Manufacturing                   
00736 9          yes     1.733726438  Manufacturing                   
00737 3          no      1.576051493  Finance                         
00738 4          yes     1.742017377  Finance                         
00739 5          yes     1.778826791  Finance                         
00740 6          yes     1.871161593  Finance                         
00741 7          yes     1.65639559   Finance                         
00742 8          yes     1.783029685  Finance                         
00743 9          yes     1.5948252    Finance                         
00744 10         yes     1.995091202  Finance                         
00745 2          yes     1.32470135   Manufacturing                   
00746 3          yes     1.347073648  Finance                         
00747 4          yes     1.562669994  Personal_Service                
00748 5          yes     3.200689122  Personal_Service                
00749 6          yes     1.838300914  Construction                    
